Handle,Title,Body (HTML),Vendor,Type,Tags,Published,Option1 Name,Option1 Value,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Image Src,Image Position,Image Alt Text,Status
walnut-coffee-table,Walnut Coffee Table,<p>A stunning centerpiece for any living room. Crafted from sustainably sourced American black walnut with hand-rubbed oil finish. The live-edge top celebrates the natural beauty of the wood grain.</p>,Craft Wood Furniture,Coffee Table,"coffee-table, handcrafted, living-room, walnut",TRUE,Title,Default Title,CWF-walnut-coffee-table,0,shopify,10,deny,manual,1850.00,,TRUE,TRUE,https://cdn.shopify.com/s/files/1/1027/1342/6262/files/photo_b3269fc5-8440-425c-9a85-38dada68a8ec.jpg?v=1778502640,1,Walnut Coffee Table,active
walnut-platform-bed,Walnut Platform Bed,"<p>Sleep in understated elegance. This low-profile platform bed is handcrafted from solid American black walnut with a hand-rubbed oil finish. The floating design creates a sense of lightness while the solid construction ensures lasting durability.</p><ul>
<li>Solid American black walnut</li>
<li>Hand-rubbed Danish oil finish</li>
<li>Available in Queen and King</li>
<li>No box spring required</li>
<li>Lead time: 6–8 weeks</li>
</ul>",Craft Wood Furniture,Bed Frame,"bed-frame, bedroom, handcrafted, platform-bed, walnut",TRUE,Title,Default Title,CWF-walnut-platform-bed,0,shopify,10,deny,manual,2800.00,,TRUE,TRUE,https://cdn.shopify.com/s/files/1/1027/1342/6262/files/photo-2.jpg?v=1778502641,1,Walnut Platform Bed,active
walnut-platform-bed,Walnut Platform Bed,"<p>Sleep in understated elegance. This low-profile platform bed is handcrafted from solid American black walnut with a hand-rubbed oil finish. The floating design creates a sense of lightness while the solid construction ensures lasting durability.</p><ul>
<li>Solid American black walnut</li>
<li>Hand-rubbed Danish oil finish</li>
<li>Available in Queen and King</li>
<li>No box spring required</li>
<li>Lead time: 6–8 weeks</li>
</ul>",Craft Wood Furniture,Bed Frame,"bed-frame, bedroom, handcrafted, platform-bed, walnut",TRUE,Title,Default Title,CWF-walnut-platform-bed,0,shopify,10,deny,manual,3400.00,,TRUE,TRUE,,,Walnut Platform Bed,active
white-oak-dining-table,White Oak Dining Table,"<p>Gather your family around this heirloom-quality dining table. Crafted from kiln-dried white oak with a natural oil finish, the book-matched top showcases stunning grain patterns. Seats 6–8 comfortably.</p><ul>
<li>Solid white oak, book-matched top</li>
<li>Natural hardwax oil finish</li>
<li>Dimensions: 84"" L × 38"" W × 30"" H</li>
<li>Seats 6–8</li>
<li>Lead time: 8–10 weeks</li>
</ul>",Craft Wood Furniture,Dining Table,"dining-room, dining-table, handcrafted, heirloom, oak",TRUE,Title,Default Title,CWF-white-oak-dining-table,0,shopify,10,deny,manual,3200.00,,TRUE,TRUE,https://cdn.shopify.com/s/files/1/1027/1342/6262/files/photo-1.jpg?v=1778502641,1,White Oak Dining Table,active
white-oak-bookshelf,White Oak Bookshelf,"<p>Display your collection in style. This solid white oak bookshelf features five adjustable shelves and a clean Shaker-inspired design that complements any room. Mortise-and-tenon construction ensures it will last for generations.</p><ul>
<li>Solid white oak with plywood back</li>
<li>5 adjustable shelves</li>
<li>Natural hardwax oil finish</li>
<li>Dimensions: 36"" W × 12"" D × 72"" H</li>
<li>Weight capacity: 50 lbs per shelf</li>
</ul>",Craft Wood Furniture,Bookshelf,"bookshelf, handcrafted, living-room, oak, storage",TRUE,Title,Default Title,CWF-white-oak-bookshelf,0,shopify,10,deny,manual,1450.00,,TRUE,TRUE,https://cdn.shopify.com/s/files/1/1027/1342/6262/files/photo.jpg?v=1778502640,1,White Oak Bookshelf,active
cherry-wood-nightstand,Cherry Wood Nightstand,"<p>The perfect bedside companion. This nightstand is handcrafted from solid American cherry wood, which deepens beautifully to a rich reddish-brown with age and light exposure. Features a dovetail drawer and open shelf.</p><ul>
<li>Solid American cherry wood</li>
<li>Dovetail drawer joinery</li>
<li>Hand-rubbed oil and wax finish</li>
<li>Dimensions: 22"" W × 16"" D × 26"" H</li>
<li>Sold individually or as a pair</li>
</ul>",Craft Wood Furniture,Nightstand,"bedroom, cherry, handcrafted, nightstand",TRUE,Title,Default Title,CWF-cherry-wood-nightstand,0,shopify,10,deny,manual,680.00,,TRUE,TRUE,https://cdn.shopify.com/s/files/1/1027/1342/6262/files/photo-3.jpg?v=1778502641,1,Cherry Wood Nightstand,active
cherry-wood-nightstand,Cherry Wood Nightstand,"<p>The perfect bedside companion. This nightstand is handcrafted from solid American cherry wood, which deepens beautifully to a rich reddish-brown with age and light exposure. Features a dovetail drawer and open shelf.</p><ul>
<li>Solid American cherry wood</li>
<li>Dovetail drawer joinery</li>
<li>Hand-rubbed oil and wax finish</li>
<li>Dimensions: 22"" W × 16"" D × 26"" H</li>
<li>Sold individually or as a pair</li>
</ul>",Craft Wood Furniture,Nightstand,"bedroom, cherry, handcrafted, nightstand",TRUE,Title,Default Title,CWF-cherry-wood-nightstand,0,shopify,10,deny,manual,1290.00,,TRUE,TRUE,,,Cherry Wood Nightstand,active
walnut-dining-chair,Walnut Dining Chair,"<p>Crafted for comfort and beauty, this dining chair pairs perfectly with our White Oak Dining Table. The solid walnut frame features gently curved legs and a contoured seat that invites long conversations around the table.</p><ul>
<li>Solid American black walnut frame</li>
<li>Contoured solid wood seat</li>
<li>Hand-rubbed oil finish</li>
<li>Dimensions: 18"" W × 20"" D × 33"" H, seat height 18""</li>
<li>Weight capacity: 300 lbs</li>
</ul>",Craft Wood Furniture,Dining Chair,"dining-chair, dining-room, handcrafted, walnut",TRUE,Title,Default Title,CWF-walnut-dining-chair,0,shopify,10,deny,manual,480.00,,TRUE,TRUE,https://cdn.shopify.com/s/files/1/1027/1342/6262/files/photo-1_b300b617-68b3-49df-8b13-511f4f49ef00.jpg?v=1778502641,1,Walnut Dining Chair,active
walnut-dining-chair,Walnut Dining Chair,"<p>Crafted for comfort and beauty, this dining chair pairs perfectly with our White Oak Dining Table. The solid walnut frame features gently curved legs and a contoured seat that invites long conversations around the table.</p><ul>
<li>Solid American black walnut frame</li>
<li>Contoured solid wood seat</li>
<li>Hand-rubbed oil finish</li>
<li>Dimensions: 18"" W × 20"" D × 33"" H, seat height 18""</li>
<li>Weight capacity: 300 lbs</li>
</ul>",Craft Wood Furniture,Dining Chair,"dining-chair, dining-room, handcrafted, walnut",TRUE,Title,Default Title,CWF-walnut-dining-chair,0,shopify,10,deny,manual,920.00,,TRUE,TRUE,,,Walnut Dining Chair,active
walnut-dining-chair,Walnut Dining Chair,"<p>Crafted for comfort and beauty, this dining chair pairs perfectly with our White Oak Dining Table. The solid walnut frame features gently curved legs and a contoured seat that invites long conversations around the table.</p><ul>
<li>Solid American black walnut frame</li>
<li>Contoured solid wood seat</li>
<li>Hand-rubbed oil finish</li>
<li>Dimensions: 18"" W × 20"" D × 33"" H, seat height 18""</li>
<li>Weight capacity: 300 lbs</li>
</ul>",Craft Wood Furniture,Dining Chair,"dining-chair, dining-room, handcrafted, walnut",TRUE,Title,Default Title,CWF-walnut-dining-chair,0,shopify,10,deny,manual,1760.00,,TRUE,TRUE,,,Walnut Dining Chair,active
natural-solid-oak-coat-rack-with-shelf,Natural Solid Oak Coat Rack With Shelf,"<p>Coat Rack made from solid natural oak, with shelf and classical hooks — a perfect finishing touch to your hallway, kitchen or bathroom. Handmade to order.</p><p><strong>Dimensions:</strong><br>Height: 17cm | Depth: 10cm<br>2 Hooks – 40cm | 3 Hooks – 52cm | 4 Hooks – 64cm | 5 Hooks – 76cm | 6 Hooks – 88cm | 7 Hooks – 98cm | 8 Hooks – 110cm | 9 Hooks – 120cm | 10 Hooks – 130cm | 11 Hooks – 140cm | 12 Hooks – 150cm</p><p><strong>Includes:</strong> Fully assembled, fixings for solid wall included. Cast iron hooks.</p><p>Available in Clear, Old Oak, Dark, and Grey oil finishes. Hooks available in Black, Gold, Old Copper, Chrome, and Old Brass.</p>",Craft Wood Furniture,Coat Rack,"coat-rack, hallway, handmade, oak, shelf, wall-mounted",TRUE,Title,Default Title,CWF-natural-solid-oak-coat-rack-with-shelf,0,shopify,10,deny,manual,101.56,,TRUE,TRUE,https://cdn.shopify.com/s/files/1/1027/1342/6262/files/coat-rack-shelf-1.jpg?v=1778503958,1,Oak Coat Rack with Shelf,active
